application_date|Eightmile Zone|Stuart Zone|Colchuck Zone|Core Enchantment Zone|Snow Zone
08-26, Tue|16.7|6.5|2.4|0.8|4.0
08-27, Wed|16.7|5.9|1.6|0.6|4.0
08-28, Thu|7.4|4.3|1.0|0.5|3.1
08-29, Fri|5.0|2.4|0.7|0.5|2.9
08-30, Sat|5.3|2.1|0.9|0.5|2.8
08-31, Sun|21.4|9.5|2.7|1.4|6.7
09-01, Mon|33.3|10.3|3.5|1.9|10.0
09-02, Tue|14.3|9.4|2.3|0.9|4.5
09-03, Wed|13.3|8.3|1.9|0.7|5.3
09-04, Thu|10.5|3.8|1.4|0.7|3.1
09-05, Fri|5.7|2.7|1.0|0.4|2.5
09-06, Sat|9.1|4.3|1.3|0.8|4.3
09-07, Sun|8.6|8.3|2.3|1.0|4.1
09-08, Mon|11.5|6.9|2.1|0.9|4.5
09-09, Tue|13.3|5.7|1.3|0.8|3.1
09-10, Wed|18.2|6.5|1.6|0.8|3.2
09-11, Thu|10.5|4.2|1.0|0.6|3.5
09-12, Fri|4.1|2.7|0.8|0.4|2.6
09-13, Sat|8.3|3.4|1.2|0.8|4.3
09-14, Sun|23.1|6.9|2.7|1.0|4.2
09-15, Mon|23.1|6.8|2.5|1.3|5.2
09-16, Tue|10.5|9.4|2.4|1.0|4.9
09-17, Wed|14.3|9.7|1.9|0.6|3.8
09-18, Thu|10.5|4.8|1.5|0.7|4.0
09-19, Fri|6.2|5.4|1.2|0.4|3.3
09-20, Sat|16.7|4.7|2.0|0.8|4.4
09-21, Sun|21.4|12.5|3.7|1.5|5.9
09-22, Mon|50.0|13.8|4.4|1.1|8.3
09-23, Tue|40.0|11.5|2.8|0.7|7.5
09-24, Wed|25.0|12.5|2.6|1.1|5.3
09-25, Thu|22.2|5.2|1.6|0.3|4.8
09-26, Fri|8.7|3.8|1.4|0.8|4.9
09-27, Sat|18.2|5.4|1.8|0.9|7.8
09-28, Sun|33.3|15.4|4.2|2.4|5.5
09-29, Mon|30.0|22.2|5.2|1.8|14.3
09-30, Tue|22.2|8.6|2.3|1.0|7.7
10-01, Wed|50.0|16.7|3.1|1.1|5.8
10-02, Thu|15.4|7.3|2.4|1.0|5.9
10-03, Fri|7.7|3.9|1.7|0.5|5.3
10-04, Sat|15.4|7.7|2.3|0.7|8.2
10-05, Sun|33.3|13.3|5.6|1.5|7.4
10-06, Mon|75.0|17.4|6.2|3.1|20.8
10-07, Tue|33.3|27.3|7.1|1.2|28.6
10-08, Wed|100.0|23.1|7.1|2.2|12.1
10-09, Thu|22.2|18.8|5.7|1.5|10.8
10-10, Fri|9.1|7.9|2.9|1.2|7.0
10-11, Sat|25.0|12.5|3.6|2.0|9.8
10-12, Sun|42.9|30.8|8.6|3.3|14.7
10-13, Mon|60.0|36.4|20.0|5.4|45.5
10-14, Tue|100.0|66.7|9.5|5.5|40.0
10-15, Wed|100.0|42.9|11.8|6.9|57.1
10-16, Thu|40.0|50.0|11.8|4.5|36.4
10-17, Fri|40.0|30.0|13.3|5.8|28.6
10-18, Sat|0.0|37.5|22.2|4.7|40.0
10-19, Sun|50.0|50.0|33.3|13.3|50.0
10-20, Mon|100.0|100.0|66.7|35.0|80.0
10-21, Tue|100.0|100.0|28.6|22.2|50.0
10-22, Wed|0.0|66.7|40.0|23.5|100.0
10-23, Thu|100.0|50.0|100.0|16.0|0.0
10-24, Fri|100.0|0.0|66.7|11.4|66.7
10-25, Sat|100.0|0.0|50.0|16.0|100.0
10-26, Sun|0.0|100.0|66.7|66.7|100.0
10-27, Mon|0.0|66.7|66.7|71.4|50.0
10-28, Tue|100.0|100.0|100.0|100.0|0.0
10-29, Wed|0.0|100.0|0.0|50.0|0.0
10-30, Thu|0.0|100.0|100.0|66.7|0.0
